Pipeline,Latency (s),Latency per request (s),Retrieval Hit@1,Retrieval Hit@3,Retrieval Hit@5,Retrieval MRR@5,Retrieval Context F1@5,Exact Match,F1 Score,LLM Correctness,LLM Completeness,LLM Reasoning,LLM Faithfulness
Baseline,13.349797248840332,0.6674898624420166,0.65,0.85,0.9,0.7541666666666667,0.9135555555555556,0.0,0.0,0.0,0.0,0.0,1.0
Simple RAG,104.12073349952698,5.206036674976349,,,,,,0.75,0.6297619047619049,0.6200000000000001,0.8000000000000002,0.555,0.695
Agentic RAG,337.46455574035645,16.87322778701782,,,,,,0.7,0.518994708994709,0.7300000000000002,0.7750000000000001,0.6799999999999999,0.7350000000000001
