Pipeline,Latency (s),Latency per request (s),Retrieval Hit@1,Retrieval Hit@3,Retrieval Hit@5,Retrieval MRR@5,Retrieval Context F1@5,Exact Match,F1 Score,LLM Correctness,LLM Completeness,LLM Reasoning,LLM Faithfulness
Baseline,581.9508926868439,0.4849590772390366,0.5441666666666667,0.8508333333333333,0.92,0.6996805555555567,0.946216172448861,0.0,0.0017146164021164022,0.0042499999999999994,0.006083333333333334,0.004333333333333333,0.9970833333333333
Simple RAG,5575.005676746368,4.645838063955307,,,,,,0.215,0.40435592248575913,0.5779166666666633,0.6487499999999945,0.48183333333333184,0.7412500000000002
Agentic RAG,13432.552593708038,11.193793828090032,,,,,,0.07583333333333334,0.14224501382717228,0.20066666666666733,0.2316666666666669,0.16833333333333345,0.9076666666666665
