Pipeline,Latency (s),Latency per request (s),Retrieval Hit@1,Retrieval Hit@3,Retrieval Hit@5,Retrieval MRR@5,Retrieval Context F1@5,Exact Match,F1 Score,LLM Correctness,LLM Completeness,LLM Reasoning,LLM Faithfulness
Baseline,6.9717817306518555,1.3943563461303712,,,,,,0.0,0.0,0.52,0.6599999999999999,0.22000000000000003,0.5599999999999999
Simple RAG,16.058979749679565,3.211795949935913,0.6,1.0,1.0,0.7666666666666666,1.0,0.6,0.5888888888888889,0.86,0.74,0.41999999999999993,1.0
Agentic RAG,68.62036061286926,13.724072122573853,0.8,1.0,1.0,0.9,1.0,0.8,0.49444444444444446,0.78,0.8,0.74,0.7
