Pipeline,Latency (s),Latency per request (s),Retrieval Hit@1,Retrieval Hit@3,Retrieval Hit@5,Retrieval MRR@5,Retrieval Context F1@5,Exact Match,F1 Score,LLM Correctness,LLM Completeness,LLM Reasoning,LLM Faithfulness
Baseline,589.6891145706177,0.4914075954755147,0.5433333333333333,0.85,0.9183333333333333,0.69876388888889,0.9455813762106166,0.0,0.0017146164021164022,0.0008333333333333334,0.0014166666666666668,0.0011666666666666665,0.9995833333333334
Simple RAG,5311.11659693718,4.425930497447649,0.5433333333333333,0.85,0.9183333333333333,0.69876388888889,0.9455813762106166,0.14333333333333334,0.23818306484722312,0.30491666666666756,0.3405833333333327,0.2507500000000002,0.8718333333333333
Agentic RAG,13569.82098531723,11.308184154431025,0.5433333333333333,0.85,0.9183333333333333,0.69876388888889,0.9455813762106166,0.050833333333333335,0.08636869420282735,0.1103333333333333,0.11666666666666678,0.09016666666666667,0.9598333333333331
